Release_Date	Polling_Start	Polling_End	NrParticipants	CDU_CSU	SPD	GRÜNE	FDP	LINKE	AFD
27.08.2021	20.08.2021	24.08.2021	1689	22	24	16	13	8	11
30.07.2021	23.07.2021	26.07.2021	1748	28	16	16	12	8	12
02.07.2021	25.06.2021	28.06.2021	1648	30	15	19	11	7	11
27.05.2021	21.05.2021	24.05.2021	1706	26	15	22	12	7	11
30.04.2021	23.04.2021	26.04.2021	1643	24	14	25	11	8	11
01.04.2021	25.03.2021	29.03.2021	1637	27	17	21	10	8	11
26.02.2021	18.02.2021	22.02.2021	1619	33	16	18	8	8	11
04.02.2021	29.01.2021	01.02.2021	1606	36	15	18	7	9	10
06.01.2021	30.12.2021	05.01.2021	1588	36	15	18	6	9	10
26.11.2020	19.11.2020	23.11.2020	1632	37	15	18	6	9	10
30.10.2020	22.10.2020	26.10.2020	1656	35	15	18	6	9	12
25.09.2020	19.09.2020	21.09.2020	1623	35	15	18	5	9	12
28.08.2020	20.08.2020	24.08.2020	1611	36	16	18	5	8	11
06.08.2020	30.07.2020	04.08.2020	1623	36	14	18	6	9	11
26.06.2020	18.06.2020	22.06.2020	1636	37	15	17	5	9	11
28.05.2020	20.05.2020	26.05.2020	1584	37	15	16	5	9	11
30.04.2020	23.04.2020	27.04.2020	1636	37	16	16	5	9	11
03.04.2020	27.03.2020	30.03.2020	1615	34	16	18	6	9	12
06.03.2020	28.02.2020	02.03.2020	1632	27	15	21	6	10	14
18.12.2019	13.12.2019	17.12.2019	1586	27	13	21	7	10	15
27.11.2019	22.11.2019	26.11.2019	1648	26	13	22	7	10	15
06.11.2019	31.10.2019	05.11.2019	1583	27	13	22	7	10	14
03.10.2019	27.09.2019	01.10.2019	1573	26	13	22	8	8	15
11.09.2019	06.09.2019	10.09.2019	1632	27	15	22	6	8	14
31.07.2019	26.07.2019	29.07.2019	1594	26	13	24	8	8	14
03.07.2019	28.06.2019	02.07.2019	1644	26	13	25	7	8	13
23.05.2019	17.05.2019	21.05.2019	1609	29	18	18	8	9	12
03.05.2019	26.04.2019	29.04.2019	1642	29	18	17	9	9	13
28.03.2019	22.03.2019	26.03.2019	1633	30	18	17	9	9	12
27.02.2019	22.02.2019	26.02.2019	1620	30	18	17	9	9	13
31.01.2019	25.01.2019	29.01.2019	1578	32	15	18	8	9	14
28.12.2018	21.12.2018	27.12.2018	1665	30	16	18	8	10	14
28.11.2018	23.11.2018	27.11.2018	1580	27	15	21	9	10	14
07.11.2018	28.10.2018	04.11.2018	1542	25	14	21	10	10	16
27.09.2018	21.09.2018	25.09.2018	1504	27	17	14	9	11	18
30.08.2018	24.08.2018	28.08.2018	1538	28	17	13	9	11	17
25.07.2018	20.07.2018	24.07.2018	1520	30	17	12	9	11	17
27.06.2018	22.06.2018	26.06.2018	1525	30	17	12	10	11	16
30.05.2018	25.05.2018	29.05.2018	1556	33	17	11	9	11	16
25.04.2018	20.04.2018	24.04.2018	1573	32	18	12	9	10	15
28.03.2018	23.03.2018	27.03.2018	1579	34	17	11	8	11	15
28.02.2018	26.02.2018	28.02.2018	1585	32	16	12	8	12	16
25.01.2018	19.01.2018	23.01.2018	1566	34	19	10	8	11	14
28.12.2017	25.12.2017	27.12.2017	1489	33	21	10	9	10	13
29.11.2017	24.11.2017	28.11.2017	1570	32	21	10	9	10	13
21.09.2017	15.09.2017	19.09.2017	1862	36	23	7	9	10	10
13.09.2017	08.09.2017	12.09.2017	1600	36	23	8	9	10	10
06.09.2017	04.09.2017	06.09.2017	1617	34	24	7	9	9	11
30.08.2017	25.08.2017	29.08.2017	1557	36	25	7	7	10	10
24.08.2017	18.08.2017	22.08.2017	1520	37	25	7	8	9	9
16.08.2017	11.08.2017	15.08.2017	1538	37	25	7	9	9	9
10.08.2017	04.08.2017	08.08.2017	1513	38	24	6	9	9	9
03.08.2017	28.07.2017	01.08.2017	2000	37	25	7	9	9	8
27.07.2017	21.07.2017	25.07.2017	2000	38	25	7	9	9	8
12.07.2017	10.07.2017	12.07.2017	1535	38	24	8	9	9	8
29.06.2017	26.06.2017	28.06.2017	2000	38	25	8	8	9	8
23.06.2017	19.06.2017	22.06.2017	1523	36	25	8	9	10	7
02.06.2017	29.05.2017	31.05.2017	2040	37	23	8	9	10	9
19.05.2017	15.05.2017	17.05.2017	2000	38	25	7	9	9	9
12.05.2017	08.05.2017	11.05.2017	2010	37	25	7	9	8	9
05.05.2017	27.04.2017	02.05.2017	1957	35	28	7	7	9	9
